,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStock_2017.xls,,,,,,,,,,,,,,,,,,,,
,,,,"Table 2 -  Total population at mid-year by sex and by major area, region, country or area, 1990-2017 (thousands)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,December 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Total population of both sexes at mid-year (thousands)g,,,,,,,Total male population at mid-year (thousands),,,,,,,Total female population at mid-year (thousands),,,,,,
82,Uzbekistan,,860,"20,462","22,863","24,849","26,512","28,606","30,976","31,911","10,123","11,369","12,357","13,173","14,228","15,434","15,907","10,339","11,494","12,492","13,339","14,378","15,542","16,003"
83,Eastern Asia,,906,"1,388,798","1,463,529","1,512,378","1,555,012","1,595,829","1,635,150","1,648,165","709,011","747,487","772,400","794,783","816,138","836,814","843,552","679,787","716,041","739,978","760,229","779,691","798,337","804,612"
84,China,5,156,"1,172,445","1,239,940","1,283,199","1,321,623","1,359,755","1,397,029","1,409,517","601,589","636,599","659,001","679,544","699,882","719,760","726,320","570,857","603,341","624,198","642,079","659,873","677,269","683,197"
85,"China, Hong Kong SAR",6,344,"5,781","6,140","6,664","6,828","7,025","7,246","7,365","2,935","3,077","3,274","3,276","3,296","3,349","3,387","2,847","3,063","3,389","3,552","3,729","3,897","3,978"
86,"China, Macao SAR",7,446,344,386,428,483,537,601,623,170,187,205,229,258,288,299,174,199,223,253,279,313,324
87,Dem. People's Republic of Korea,,408,"20,293","21,862","22,929","23,904","24,592","25,244","25,491","9,859","10,658","11,178","11,670","12,016","12,345","12,468","10,434","11,204","11,751","12,234","12,575","12,899","13,023"
88,Japan,,392,"124,516","126,375","127,534","128,336","128,552","127,975","127,484","61,363","62,195","62,630","62,890","62,879","62,526","62,256","63,153","64,181","64,904","65,445","65,673","65,449","65,228"
89,Mongolia,,496,"2,184","2,298","2,397","2,526","2,713","2,977","3,076","1,078","1,138","1,196","1,257","1,346","1,474","1,521","1,106","1,160","1,202","1,270","1,367","1,503","1,554"
90,Republic of Korea,,410,"42,923","45,299","47,386","48,708","49,553","50,594","50,982","21,516","22,733","23,776","24,435","24,828","25,325","25,510","21,407","22,565","23,611","24,274","24,724","25,269","25,472"
91,Southern Asia,,5501,"1,189,316","1,320,106","1,452,758","1,583,092","1,705,374","1,823,308","1,868,985","613,801","681,369","749,616","817,239","879,210","939,062","962,256","575,515","638,737","703,141","765,854","826,165","884,246","906,728"
92,Afghanistan,,4,"12,249","17,100","20,094","25,071","28,803","33,736","35,530","6,268","8,849","10,347","12,969","14,798","17,390","18,310","5,981","8,250","9,747","12,102","14,005","16,347","17,220"
93,Bangladesh,,50,"106,189","118,707","131,581","143,431","152,149","161,201","164,670","54,271","60,608","67,145","73,051","76,941","81,343","83,036","51,918","58,099","64,437","70,380","75,208","79,858","81,634"
94,Bhutan,,64,537,515,573,657,728,787,808,276,263,293,345,386,418,429,261,252,281,312,342,369,379
95,India,,356,"870,133","960,483","1,053,051","1,144,119","1,230,981","1,309,054","1,339,180","450,352","497,344","545,514","593,062","638,472","678,564","693,959","419,782","463,139","507,537","551,057","592,509","630,490","645,221"
96,Iran (Islamic Republic of),,364,"56,226","60,576","66,132","70,422","74,568","79,360","81,163","28,652","30,737","33,531","35,964","37,717","39,942","40,816","27,575","29,839","32,601","34,458","36,851","39,419","40,347"
97,Maldives,,462,223,254,280,319,365,418,436,114,129,142,168,200,237,248,109,125,138,151,165,182,188
98,Nepal,,524,"18,749","21,396","23,741","25,640","27,023","28,656","29,305","9,303","10,799","11,806","12,722","13,182","13,903","14,226","9,446","10,597","11,935","12,918","13,842","14,753","15,079"
99,Pakistan,,586,"107,679","122,829","138,523","153,910","170,560","189,381","197,016","55,814","63,475","71,471","79,332","87,687","97,286","101,199","51,864","59,354","67,052","74,578","82,873","92,094","95,817"
100,Sri Lanka,,144,"17,330","18,247","18,782","19,525","20,198","20,714","20,877","8,750","9,165","9,368","9,625","9,829","9,979","10,034","8,580","9,082","9,414","9,899","10,369","10,735","10,843"
101,South-Eastern Asia,,920,"444,097","485,371","524,657","561,770","597,328","634,610","648,780","221,575","241,904","261,257","279,943","298,520","317,026","323,966","222,522","243,467","263,400","281,828","298,808","317,584","324,814"
102,Brunei Darussalam,,96,259,297,333,365,389,418,429,136,155,169,186,201,215,221,122,142,164,179,188,202,208
103,Cambodia,,116,"8,973","10,654","12,152","13,270","14,309","15,518","16,005","4,334","5,172","5,906","6,440","6,970","7,569","7,810","4,640","5,481","6,246","6,830","7,338","7,949","8,196"
104,Indonesia,,360,"181,437","196,958","211,540","226,713","242,524","258,162","263,991","91,116","98,526","105,868","113,821","122,278","130,039","132,898","90,321","98,432","105,672","112,892","120,246","128,123","131,093"
105,Lao People's Democratic Republic,,418,"4,258","4,852","5,329","5,754","6,246","6,664","6,858","2,130","2,421","2,657","2,854","3,107","3,322","3,421","2,129","2,431","2,672","2,900","3,139","3,342","3,437"
106,Malaysia,8,458,"18,038","20,496","23,186","25,659","28,112","30,723","31,624","9,177","10,433","11,813","13,149","14,488","15,877","16,325","8,861","10,063","11,373","12,511","13,624","14,846","15,299"
107,Myanmar,,104,"40,626","43,238","46,095","48,483","50,156","52,404","53,371","19,882","21,178","22,520","23,682","24,478","25,593","26,068","20,744","22,060","23,576","24,801","25,678","26,811","27,303"
108,Philippines,,608,"61,947","69,836","77,992","86,274","93,727","101,716","104,918","31,293","35,227","39,280","43,362","47,310","51,238","52,801","30,655","34,609","38,711","42,913","46,417","50,478","52,117"
109,Singapore,,702,"3,013","3,479","3,914","4,491","5,074","5,535","5,709","1,516","1,751","1,955","2,229","2,504","2,734","2,821","1,497","1,728","1,959","2,262","2,570","2,801","2,888"
110,Thailand,,764,"56,583","59,492","62,958","65,425","67,209","68,658","69,038","28,027","29,546","31,096","32,177","32,938","33,525","33,665","28,556","29,945","31,862","33,248","34,271","35,132","35,373"
111,Timor-Leste,,626,752,871,872,"1,026","1,110","1,241","1,296",380,440,442,520,563,630,658,371,431,430,506,546,611,638
112,Viet Nam,,704,"68,210","75,199","80,286","84,309","88,473","93,572","95,541","33,584","37,054","39,551","41,522","43,683","46,285","47,278","34,626","38,145","40,734","42,787","44,789","47,287","48,262"
113,Western Asia,,922,"148,788","166,864","185,019","205,731","232,738","258,124","267,660","75,606","84,967","94,028","105,504","120,897","134,714","139,920","73,182","81,896","90,991","100,227","111,841","123,410","127,740"
114,Armenia,,51,"3,538","3,217","3,070","2,981","2,877","2,917","2,930","1,715","1,524","1,441","1,402","1,346","1,371","1,378","1,823","1,693","1,629","1,579","1,531","1,546","1,552"
