,Country Name,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2017 [YR2017]
193,Timor-Leste,..,..,2622.023348,5603.729727,8681.607159,7878.759385,7213.017073
194,Togo,872.635746,875.5631269,1012.178915,1051.03368,1183.839338,1438.689326,1569.727419
195,Tonga,2310.120473,3109.055118,3647.468753,4404.665734,4883.370227,5526.478696,5956.543211
196,Trinidad and Tobago,7921.078925,9384.591203,14524.09121,23532.48931,30628.54176,33569.41352,31577.67299
197,Tunisia,3629.1202,4470.333681,6003.312008,7838.074031,10225.25223,11464.20947,11910.95234
198,Turkey,6146.258388,7487.022931,9582.260417,11887.87499,17442.85995,24844.89555,26504.93593
199,Turkmenistan,5375.394828,3354.556516,4227.158426,5783.426492,9741.305291,15964.79184,17992.7666
200,Turks and Caicos Islands,..,..,..,..,..,..,..
201,Tuvalu,1521.284266,1944.377106,2412.296979,2561.283274,2926.03807,3640.988199,3924.944604
202,Uganda,497.3225639,668.034819,832.084437,1088.685704,1485.202513,1774.010819,1863.835106
203,Ukraine,6763.203058,3689.120683,3802.540243,6452.096195,7666.219577,7949.149002,8666.896534
204,United Arab Emirates,71376.15091,73622.3664,81351.36414,81736.47692,56074.88069,70887.39073,73878.46766
205,United Kingdom,16934.43255,20423.53423,26245.85621,32436.87959,35875.45628,41579.86341,43268.78356
206,United States,23954.47935,28782.17502,36449.85512,44307.92058,48375.40695,56443.81724,59531.66196
207,Uruguay,6360.382528,8392.74392,10204.90524,11553.51551,16736.85104,21117.8016,22562.46183
208,Uzbekistan,1984.903407,1634.687382,1984.47012,2732.716951,4153.938846,6069.978666,6864.999587
209,Vanuatu,1647.689036,1902.540436,2237.52451,2323.514575,2888.398273,2988.850538,3207.831231
210,"Venezuela, RB",9339.95443,11172.37417,11424.20449,13309.69764,16210.28996,..,..
211,Vietnam,939.0427192,1425.229198,2030.797288,3032.391019,4318.997405,5915.170833,6775.832191
212,Virgin Islands (U.S.),..,..,..,..,..,..,..
213,West Bank and Gaza,..,2033.954977,3331.356147,4010.147761,4088.336765,5019.238115,4885.341879
214,"Yemen, Rep.",2150.41636,2575.289128,3086.354758,3699.915173,4388.144757,2458.385012,..
215,Zambia,1513.668718,1479.696374,1666.884356,2210.472268,3212.941881,3862.478483,4050.261432
216,Zimbabwe,1684.211364,1814.219952,2047.74854,1480.264691,1445.042386,2036.319256,2085.676925
217,Arab World,6754.315066,7709.54066,9328.026445,11594.61102,14064.01049,16337.96649,16922.1043
218,Caribbean small states,6067.576655,7302.272263,9055.307886,12099.68242,14245.95374,15829.14408,15761.21089
219,Central Europe and the Baltics,6885.872378,7781.620288,10010.46817,14289.64337,20727.85787,25841.60932,28680.93919
220,Early-demographic dividend,2680.228834,3378.956221,4022.17412,5153.502202,6880.892994,8762.816615,9669.166679
221,East Asia & Pacific,3192.394808,4502.033347,5710.268109,8037.643444,11721.84539,16114.48315,18139.9479
222,East Asia & Pacific (excluding high income),1439.044381,2403.857302,3289.053495,5241.443522,8744.620905,12958.52798,14904.79815
223,East Asia & Pacific (IDA & IBRD countries),1454.757111,2430.31014,3324.899791,5298.450453,8838.670265,13096.23133,15062.24171
224,Euro area,16947.57183,20400.04421,25317.12636,30106.4643,35842.43756,40864.7359,43637.10905
225,Europe & Central Asia,11561.43895,12627.89199,15848.96481,20261.96758,26010.07248,30654.8667,32616.62361
226,Europe & Central Asia (excluding high income),6428.039448,4941.293393,6074.517793,9586.585219,15196.63939,19184.3161,20496.26979
227,Europe & Central Asia (IDA & IBRD countries),6429.480471,5214.228616,6524.292492,10017.88552,15743.07061,19838.61971,21247.07003
228,European Union,14984.42735,17991.88312,22572.63018,27505.43046,33259.68977,38457.37629,41125.60181
229,Fragile and conflict affected situations,1822.383408,1725.132607,2421.023482,2875.164047,3729.316075,4144.105176,4394.369391
230,Heavily indebted poor countries (HIPC),958.1882312,992.5831888,1138.033419,1405.698159,1786.866235,2209.715002,2379.851947
231,High income,17836.30081,21844.64126,27229.87128,33186.39735,38354.58008,44718.32709,47304.58123
232,IBRD only,2818.602374,3457.745532,4384.130037,6209.942483,9290.699748,12350.29247,13739.62968
233,IDA & IBRD total,2516.562127,3035.310876,3791.152239,5299.591649,7761.156094,10149.80067,11203.63426
234,IDA blend,1937.226484,2124.366097,2394.481217,3311.316999,4214.14392,5144.480705,5363.868181
235,IDA only,962.4430325,1048.741403,1257.233878,1639.073714,2187.970213,2723.796089,2974.771794
236,IDA total,1299.128721,1418.128381,1643.15495,2203.761524,2869.559655,3537.356365,3774.646407
237,Late-demographic dividend,2849.288896,3591.680091,4737.911475,7235.114798,11547.97533,15950.39862,17783.74277
238,Latin America & Caribbean,5811.364549,7483.190654,8708.467408,10451.03337,13293.33279,15306.5141,15776.93536
239,Latin America & Caribbean (excluding high income),5643.867814,7128.518867,8232.517141,9853.00404,12461.30737,14349.24172,14761.09392
240,Latin America & the Caribbean (IDA & IBRD countries),5779.608292,7437.016234,8628.478264,10339.17123,13201.29012,15217.99063,15681.46499
241,Least developed countries: UN classification,843.7941485,928.6117618,1123.731974,1506.632078,2073.934751,2541.162584,2740.111111
242,Low & middle income,2424.795562,2906.958003,3634.260501,5119.559974,7521.379819,9887.33762,10936.08373
243,Low income,933.977922,944.4584513,1081.098583,1320.75608,1672.521244,1963.729937,2072.915001
244,Lower middle income,1766.383137,2080.024131,2512.699545,3467.533039,4869.920392,6446.565515,7192.119178
245,Middle East & North Africa,7696.416063,9004.798141,10818.20877,13528.24932,16456.69869,18676.31894,19893.57243
246,Middle East & North Africa (excluding high income),5236.68677,5810.462401,7294.829154,9187.941109,11576.41915,12302.29818,13567.35135
247,Middle East & North Africa (IDA & IBRD countries),5266.794194,5849.041275,7337.15724,9245.486262,11663.90558,12392.03253,13677.21456
248,Middle income,2567.371295,3102.227315,3903.193754,5547.064658,8228.130212,10909.86247,12111.87692
249,North America,23569.69156,28243.7063,35736.50624,43503.57537,47550.0533,55259.59286,58232.88143
250,Not classified,..,..,..,..,..,..,..
251,OECD members,16626.23748,20178.75617,25194.96272,30438.23945,35133.96742,40918.86775,43351.39718
252,Other small states,..,..,10634.57078,14470.68133,21082.52073,24980.14714,25772.66432
253,Pacific island small states,2656.795013,3226.827077,3570.783893,4272.607852,4678.767184,5617.41536,5940.713352
254,Post-demographic dividend,17842.60273,21432.13536,26819.34801,32804.83717,37729.18069,43709.76612,46381.52519
255,Pre-demographic dividend,1547.345801,1433.329796,1821.317158,2389.313086,3125.291021,3740.765533,3827.880974
256,Small states,..,..,9814.332043,13308.66785,18711.15752,22114.72005,22772.98783
257,South Asia,1194.163347,1545.41597,1997.611209,2787.434147,4088.88983,5678.732828,6493.77259
258,South Asia (IDA & IBRD),1194.163347,1545.41597,1997.611209,2787.434147,4088.88983,5678.732828,6493.77259
259,Sub-Saharan Africa,1624.809071,1670.144027,1885.890002,2492.682951,3162.316107,3726.249491,3805.968033
260,Sub-Saharan Africa (excluding high income),1623.783695,1668.946481,1884.346071,2491.240359,3160.604114,3724.137621,3803.695537
261,Sub-Saharan Africa (IDA & IBRD countries),1624.809071,1670.144027,1885.890002,2492.682951,3162.316107,3726.249491,3805.968033
262,Upper middle income,3312.447204,4091.131055,5302.377329,7734.928762,11911.36974,15980.87956,17774.39517
263,World,5446.175345,6478.955649,7927.720072,10079.3572,12836.84165,15710.16761,16940.79202
264,,,,,,,,
265,,,,,,,,
266,,,,,,,,
267,,,,,,,,
268,,,,,,,,
